"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"1",2007-02-01,0S,0.326,0.128,243.15,1.4,0,0,0
"2",2007-02-01,1M 0S,0.326,0.13,243.32,1.4,0,0,0
"3",2007-02-01,2M 0S,0.324,0.132,243.51,1.4,0,0,0
"4",2007-02-01,3M 0S,0.324,0.134,243.9,1.4,0,0,0
"5",2007-02-01,4M 0S,0.322,0.13,243.16,1.4,0,0,0
"6",2007-02-01,5M 0S,0.32,0.126,242.29,1.4,0,0,0
"7",2007-02-01,6M 0S,0.32,0.126,242.46,1.4,0,0,0
"8",2007-02-01,7M 0S,0.32,0.126,242.63,1.4,0,0,0
"9",2007-02-01,8M 0S,0.32,0.128,242.7,1.4,0,0,0
"10",2007-02-01,9M 0S,0.236,0,242.89,1,0,0,0
"11",2007-02-01,10M 0S,0.226,0,243,1,0,0,0
"12",2007-02-01,11M 0S,0.224,0,242.5,1,0,0,0
"13",2007-02-01,12M 0S,0.224,0,242.18,1,0,0,0
"14",2007-02-01,13M 0S,0.224,0,242.15,1,0,0,0
"15",2007-02-01,14M 0S,0.224,0,242.73,1,0,0,0
"16",2007-02-01,15M 0S,0.26,0,242.85,1.2,0,0,0
"17",2007-02-01,16M 0S,0.304,0.096,242.89,1.2,0,0,0
"18",2007-02-01,17M 0S,0.302,0.096,242.87,1.2,0,0,0
"19",2007-02-01,18M 0S,0.302,0.094,242.19,1.2,0,0,0
"20",2007-02-01,19M 0S,0.3,0.094,242.23,1.2,0,0,0
"21",2007-02-01,20M 0S,0.3,0.094,242.16,1.2,0,0,0
"22",2007-02-01,21M 0S,0.298,0.094,242.29,1.2,0,0,0
"23",2007-02-01,22M 0S,0.298,0.094,242.47,1.2,0,0,0
"24",2007-02-01,23M 0S,0.296,0.094,242.32,1.2,0,0,0
"25",2007-02-01,24M 0S,0.296,0.096,242.98,1.2,0,0,0
"26",2007-02-01,25M 0S,0.298,0.1,243.65,1.2,0,0,0
"27",2007-02-01,26M 0S,0.228,0,243.55,1,0,0,0
"28",2007-02-01,27M 0S,0.226,0,243.11,1,0,0,0
"29",2007-02-01,28M 0S,0.226,0,243.09,1,0,0,0
"30",2007-02-01,29M 0S,0.226,0,243.05,1,0,0,0
"31",2007-02-01,30M 0S,0.226,0,243.22,1,0,0,0
"32",2007-02-01,31M 0S,0.226,0,243.37,1,0,0,0
"33",2007-02-01,32M 0S,0.226,0,243.14,1,0,0,0
"34",2007-02-01,33M 0S,0.226,0,243.12,1,0,0,0
"35",2007-02-01,34M 0S,0.322,0.094,242.74,1.4,0,0,0
"36",2007-02-01,35M 0S,0.336,0.126,242.59,1.4,0,0,0
"37",2007-02-01,36M 0S,0.332,0.126,242.91,1.4,0,0,0
"38",2007-02-01,37M 0S,0.332,0.13,243.51,1.4,0,0,0
"39",2007-02-01,38M 0S,0.33,0.13,243.65,1.4,0,0,0
"40",2007-02-01,39M 0S,0.328,0.128,243.37,1.4,0,0,0
"41",2007-02-01,40M 0S,0.328,0.13,243.79,1.4,0,0,0
"42",2007-02-01,41M 0S,0.326,0.128,243.23,1.4,0,0,0
"43",2007-02-01,42M 0S,0.324,0.126,242.98,1.4,0,0,0
"44",2007-02-01,43M 0S,0.322,0.126,242.95,1.4,0,0,0
"45",2007-02-01,44M 0S,0.322,0.124,242.6,1.4,0,0,0
"46",2007-02-01,45M 0S,0.322,0.128,243.33,1.4,0,0,0
